los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,63.471820105101365,POINT (-87.6341308 41.7213013),1b6956bed1027fee,417,W 95TH ST,,,,,,
1,86.36748736680185,POINT (-87.63420419999999 41.7163938),252b8901e8d276ad,9752,S EGGLESTON AVE,,,,,,
1,86.42878757353624,POINT (-87.63420119999999 41.716262099999994),c4c2aec55c8ec2fd,9756,S EGGLESTON AVE,,,,,,
1,84.8366398066411,POINT (-87.6340206 41.710094399999996),aaf29e3a2e30af7c,10116,S EGGLESTON AVE,,,,,,
1,84.82833215460454,POINT (-87.63401869999998 41.7100267),aaababffd8084519,10120,S EGGLESTON AVE,,,,,,
1,44.65610203896596,POINT (-87.63289129999998 41.711362400000006),6bbc90d1d2a69734,353,W 100TH PL,,,,,,
1,55.34696366755836,POINT (-87.63279509999998 41.711357099999994),3eae8b27c26dfafa,349,W 100TH PL,,,,,,
0,66.83640975467577,POINT (-87.63269190000001 41.71135829999999),902618fba30916b6,347,W 100TH PL,,,,,,
0,79.59464104936589,POINT (-87.63257729999998 41.7113595),0a6349a0222c4b39,343,W 100TH PL,,,,,,
0,93.63338741877806,POINT (-87.6324512 41.7113609),102ad28a28fd27a8,341,W 100TH PL,,,,,,
1,88.78500047523328,POINT (-87.6339177 41.70496219999999),1a107a167352594a,417,W 104TH ST,,,,,,
1,76.56301062331887,POINT (-87.63380869999999 41.7049924),10e71fce811a669d,415,W 104TH ST,,,,,,
0,99.2766710313014,POINT (-87.6340052 41.7047112),54205f2f69892a4a,10415,S EGGLESTON AVE,,,,,,
0,99.23455999397659,POINT (-87.6340026 41.7046288),6b75ca42302b31b2,10419,S EGGLESTON AVE,,,,,,
0,98.98228314715313,POINT (-87.6339848 41.7040527),911a24e18bcb402b,10439,S EGGLESTON AVE,,,,,,
1,44.662149595370444,POINT (-87.6329048 41.711865100000004),0a0e09f6ac52e649,352,W 100TH PL,,,,,,
0,55.38149354662512,POINT (-87.63280869999998 41.711873),f0a07ae865c947f5,348,W 100TH PL,,,,,,
0,65.59042457945424,POINT (-87.632717 41.711874),2901451ce9348f0d,346,W 100TH PL,,,,,,
0,75.79965570618835,POINT (-87.63262529999999 41.7118751),9f8e9b49587845c4,344,W 100TH PL,,,,,,
0,99.05624360586732,POINT (-87.6339899 41.7042172),43f22c6cf8256d15,10433,S EGGLESTON AVE,,,,,,
1,99.01384873467774,POINT (-87.6339873 41.7041349),30e92b831333f62a,10435,S EGGLESTON AVE,,,,,,
0,67.08687531622233,POINT (-87.632714 41.71226140000001),9b6e2d9c34fa283b,347,W 100TH ST,,,,,,
0,76.8843077545242,POINT (-87.632626 41.7122625),f854479ce7c8fc51,345,W 100TH ST,,,,,,
0,86.69256979450118,POINT (-87.6325379 41.7122635),69c5dcdf6632810b,343,W 100TH ST,,,,,,
0,96.50083183451567,POINT (-87.63244979999999 41.712264499999996),74c7f69173582810,341,W 100TH ST,,,,,,
1,73.52637735456845,POINT (-87.6324409 41.7042784),430d8d08b5cced75,340,W 104TH ST,,,,,,
1,84.75655476465916,POINT (-87.6339558 41.7077177),d3f0dfa829cbc1a0,10240,S EGGLESTON AVE,,,,,,
1,84.75966937166685,POINT (-87.633954 41.70764989999999),2022bf89dfbdffe0,10240,S EGGLESTON AVE,,,,,,
1,84.75195414058926,POINT (-87.6339521 41.70758200000001),dbf37f01ff2436a4,10248,S EGGLESTON AVE,,,,,,
0,76.04133057156432,POINT (-87.6327947 41.7182386),3d68f2d99ea42657,344,W 97TH ST,,,,,,
0,86.23973252834199,POINT (-87.63270309999999 41.71823979999999),b081208d1d7e928d,342,W 97TH ST,,,,,,
0,96.42700478909681,POINT (-87.6326116 41.718240999999985),dfa199fa39ec1ac6,340,W 97TH ST,,,,,,
1,80.7072137934332,POINT (-87.6327691 41.718844),c9dc94b01a714745,9628,S HARVARD AVE,,,,,,
1,84.81162411831191,POINT (-87.63400779999999 41.70962800000001),fecefcff206b4d1d,10132,S EGGLESTON AVE,,,,,,
